epoch,train_loss,lr,mae_ac,rmse_ac,mae_b
1,0.9061892065134916,0.00029998155655600826,31.89650890873928,34.51673635118793,36.38724373212827
2,0.449304380200126,0.0002999262307746769,28.77138903250102,32.480102278403045,25.69678173189849
3,0.4328357609835538,0.00029983403630681456,21.85626370299096,27.32167637282315,18.375427046632456
4,0.4393603417006406,0.00029970499590002665,16.67324878966886,23.416306662525574,11.50661463519327
5,0.3961505819450725,0.00029953914139310266,13.168532627080781,20.260653021077133,8.890588847640293
6,0.4391821113499728,0.00029933651370816046,9.802019156661688,16.311290458547433,5.69654095718284
7,0.42719989581541584,0.0002990971628405494,7.855314466688368,13.816677275597437,4.910952973209954
8,0.39481024958870625,0.00029882114784651444,6.996744791666667,12.579653756861287,3.709445105658637
9,0.3912089079618454,0.00029850853682862534,6.304064183453329,11.600234723677085,3.395472994037703
10,0.40263126194477084,0.0002981594069189731,5.469018823960248,9.897042564308567,3.0315389944836983
11,0.39018789692358535,0.0002977738442601387,5.107456132477405,9.212145911886061,2.90715537975037
12,0.3851895966313102,0.000297351943983939,4.207407683328865,6.7629692647499375,2.3595529693404056
13,0.3927795962853865,0.000296893810187954,3.864504745583129,6.202227940108136,2.2653345095565895
14,0.3883287716995586,0.00029639955590984277,4.534674451242085,7.547752254948033,2.559727550332063
15,0.3737558717077429,0.0002958693030994527,4.106545117945453,6.233202557243404,2.377830418106777
16,0.3819965955885974,0.0002953031825887304,3.8759061027975643,5.814940619324975,2.2951921076556436
17,0.37893376458774913,0.0002947013340594409,3.9255092845243564,5.721748588553661,2.357729506648444
18,0.38530796603723005,0.00029406390600870307,4.276736365424262,6.407149625976973,2.3955938177171094
19,0.3657422033223239,0.0002933910557123504,3.981543621985741,6.157874773475257,2.420555214476741
20,0.3793336898088455,0.00029268294918612553,4.260541429706648,6.139036493887853,2.5122401044259663
21,0.3880648688836531,0.00029193976114471807,4.169903873618132,6.165031875443747,2.4338552437576593
22,0.3620033063671806,0.00029116167495865674,4.101165596955742,6.064139054169981,2.4285432404162837
23,0.36536891148848966,0.0002903488826090652,4.330047432893242,6.217384957591097,2.469769646139706
24,0.3763058304786682,0.0002895015846402936,3.9680506139019736,5.7085857321908,2.3969441208184934
25,0.3548906217921864,0.00028861999011043737,3.9842434802086526,5.714031157535918,2.4278159422032974
26,0.357114916768941,0.00028770431653975514,4.279827666438483,6.223458486958561,2.489090040618298
27,0.3315945243293589,0.00028675478985699905,3.969364814508974,5.579853566578723,2.4174815408544603
28,0.368948338248513,0.00028577164434366993,4.2659414453444136,6.035549018725087,2.6196091845144633
29,0.3444479140368375,0.000284755122576212,4.1441996206645095,5.771546761565901,2.527514501334795
30,0.3456153100187128,0.00028370547536616097,4.170315437067568,5.797838648063894,2.5693354637794243
31,0.32994994954629375,0.00028262296169825966,3.771578994451785,5.180641168127825,2.463645461338018
32,0.35309540114619514,0.00028150784866655756,3.862515343560113,5.414481286898796,2.4977586908278124
33,0.35632824247533623,0.0002803604114085096,3.980635050854652,5.5827753437373095,2.5043189603518816
34,0.3407178393819115,0.00027918093303708956,3.9352892458049302,5.6516085862790035,2.5806324279386232
35,0.3726086770946329,0.0002779697045709368,4.110351437836691,5.670353553547824,2.588713116115994
36,0.35742384737188165,0.00027672702486255125,3.960869084775837,5.576420211427683,2.6100294449750114
37,0.341445256634192,0.0002754532005245564,3.887501161862043,5.358331493698082,2.553259531656901
38,0.33465176251801576,0.00027414854585404696,3.9856169956182343,5.565662377913212,2.6460608314065373
39,0.3198031013662165,0.000272813382755041,3.9193233913845487,5.5177406333615036,2.6449850743113
40,0.3099224941297011,0.00027144804065905466,3.976790559058096,5.373162201978522,2.701681723002515
41,0.3261930368163369,0.00027005285644382006,4.076113756965189,5.853792215442831,2.675552305832408
42,0.3284734265370802,0.0002686281743501657,4.3196870143117465,6.340836582966718,3.0338965272591785
43,0.3335994259877638,0.0002671743458970803,3.9378424251780793,5.738018538389187,2.6543119717267603
44,0.3239294258030978,0.0002656917297949805,4.120930391199448,5.848259933417188,2.7785518122654334
45,0.31760825162584133,0.00026418069185720465,4.1714286305545984,5.976874546311992,2.882043589174358
46,0.32368524264205584,0.0002626416049097537,4.163014605154399,5.846292226543143,2.755439222248551
47,0.31981643519618297,0.0002610748486993021,4.144694509069904,5.9282255665014585,2.7964793061898425
48,0.317714594846422,0.000259480809799501,4.049054388906441,5.776115747087775,2.7951301250582428
49,0.30126944360407915,0.00025785988151559667,3.8028394163044448,5.449745332116113,2.681822010115081
50,0.30112441967834125,0.0002562124637873888,4.074432472777523,6.035893729926687,2.877423255272161
51,0.3037651112133806,0.0002545389630905509,3.92510238348269,5.3832180355658155,2.8267109690148846
52,0.29375597062436015,0.0002528397923363389,3.7667263754053053,5.269627175076045,2.7608398986018563
53,0.3067441861737858,0.000251115370769711,4.110992730832567,6.0278696781794725,2.889142366795758
54,0.3032657390291041,0.0002493661238658858,3.9775171466902193,5.481009597516251,2.8136017119962404
55,0.3029103861613707,0.0002475924832253623,3.741508109896791,5.13186656919775,2.8148724300409453
56,0.30465472692793066,0.000245794886467429,3.8694277495340583,5.410812487113712,2.7289751464245366
57,0.29674013378945263,0.0002439737771221878,3.8860023598265805,5.49867454691363,2.848093369427849
58,0.29829577830704773,0.00024212960452111987,3.849044725006702,5.272299978681628,2.9166741838642194
59,0.2961520959030498,0.00024026282368621956,3.975605185514961,5.597452951125021,2.8174871307572507
60,0.31108577441085467,0.00023837389521772463,3.794569177565232,5.234152627489173,2.726591322157118
61,0.29795169017531653,0.00023646328518047002,3.7739597146028006,5.4434918540484105,2.7178576226327933
62,0.2900040130723606,0.00023453146498889343,3.6227453393873827,4.876682354966235,2.68735829521628
63,0.2885963889685544,0.00023257891129072056,3.8713786305944904,5.50677681089816,2.8048058553458817
64,0.29270647168159486,0.00023060610584935983,3.747082529504315,5.212850312289027,2.8130451277190565
65,0.28097449324347756,0.00022861353542503419,3.5532674353107128,4.802560209929008,2.731328689974118
66,0.2956829092719338,0.00022660169165468036,3.5004115883820974,4.678799988231371,2.668283175798803
67,0.28669822053475813,0.00022457107093064478,3.640635446785322,5.076486752224704,2.7015051872901665
68,0.2634787635369734,0.00022252217427820627,3.5945516349443425,4.774517046572767,2.703109616547628
69,0.2675307631492615,0.0002204555072319556,3.538455265020233,4.701967595080233,2.5732456157410066
70,0.26209998510100624,0.0002183715797110621,3.663168115553513,4.919843910433595,2.7097711376115385
71,0.2801985636353493,0.00021627090589345917,3.436607335907182,4.553603560611115,2.5944376428142872
72,0.2550746596672318,0.00021415400408897824,3.6241996864867367,4.89946373443202,2.825984119589812
73,0.25212408277121456,0.00021202139661146365,3.650917651606541,5.294003541779151,2.8574255401012945
74,0.2441044734282927,0.00020987360964989956,3.545374402812883,4.6762335030321145,2.6786133635277842
75,0.2639679578217593,0.0002077111731385808,3.601181853051279,4.876133790274385,2.7141361361235576
76,0.2693724429065531,0.00020553462062635925,3.468972249747881,4.709540568970714,2.670545939526527
77,0.2597617515108802,0.0002033444891449988,3.571977652755438,5.0241185133443045,2.6275809543584687
78,0.2670437281781977,0.00020114131907667096,3.509658713745915,4.860530132264126,2.678762984431647
79,0.2566372779282657,0.00019892565402062322,3.487430447846456,4.773268453069545,2.622571109946257
80,0.254258764331991,0.00019669804065905453,3.4012190376231874,4.579786438484354,2.5449892056533714
81,0.2571071364662864,0.00019445902862222933,3.4705390431522543,4.617660016166796,2.5670312495013468
82,0.2550358696417375,0.00019220917035286467,3.4394615771723727,4.652578357460138,2.7237596449509165
83,0.2603751891038635,0.0001899490209698231,3.3831248813205295,4.659649089803652,2.6480316585964627
84,0.24437955048951235,0.00018767913813114563,3.4592707266215403,4.648262233575891,2.7379748774509802
85,0.24714332873171027,0.00018540008189645775,3.406446793500115,4.593799118777375,2.523132947535297
86,0.23357987058433619,0.00018311241458878301,3.5531339458390776,4.7535396440327204,2.584858950446634
87,0.24538939595222473,0.00018081670065579853,3.493027232051675,4.7271837075909175,2.6716994740604574
88,0.24045973569154738,0.00017851350653056575,3.3355674244999105,4.465613568633831,2.5483577828002133
89,0.24863491546023975,0.0001762034004917716,3.441146975249247,4.573189248981849,2.593562381719452
90,0.24596800655126572,0.0001738869525235144,3.389342164681628,4.590742561226327,2.5273375043682025
91,0.2517971011725339,0.00017156473417466851,3.5011676464205475,4.715639967953647,2.6854409236533967
92,0.25098073333501814,0.0001692373184178634,3.487291897044462,4.76258555378262,2.585591883441202
93,0.2392640765417706,0.00016690527950811117,3.5126227833866293,4.85981581127408,2.6186597861495673
94,0.2618612989783287,0.0001645691928411178,3.434583726272084,4.75101784691375,2.552737404318417
